,symbol,date,close,volume,change,percentChange
4237,IEFA,2019-04-10,61.919998,15100900.0,0.09,0.146
4238,IEFA,2019-04-09,61.709999,4968800.0,-0.19,-0.307
4239,IEFA,2019-04-08,62.07,7003100.0,0.03,0.048
4240,IEFA,2019-04-05,62.049999,8926200.0,0.2,0.323
4241,IEFA,2019-04-04,61.93,5985200.0,0.06,0.097
4242,IEFA,2019-04-03,62.060001,5115900.0,0.08,0.129
4243,IEFA,2019-04-02,61.610001,7282800.0,0.23,0.375
4244,IEFA,2019-04-01,61.529999,10362900.0,0.23,0.375
4245,IEFA,2019-03-29,60.77,18869700.0,0.04,0.066
4246,IEFA,2019-03-28,60.529999,4351600.0,0.03,0.05
4247,IEFA,2019-03-27,60.619999,7788200.0,-0.13,-0.214
4248,IEFA,2019-03-26,60.669998,5593100.0,-0.07,-0.115
4249,IEFA,2019-03-25,60.279999,7685600.0,0.13,0.216
4250,IEFA,2019-03-22,60.259998,8833400.0,-0.49,-0.807
4251,IEFA,2019-03-21,61.459999,15035900.0,0.43,0.705
4252,IEFA,2019-03-20,61.43,9338200.0,0.18,0.294
4253,IEFA,2019-03-19,61.43,11747300.0,-0.27,-0.438
4254,IEFA,2019-03-18,61.32,11344700.0,0.13,0.212
4255,IEFA,2019-03-15,61.060001,6514100.0,0.21,0.345
4256,IEFA,2019-03-14,60.459999,10030500.0,0.03,0.05
4257,IEFA,2019-03-13,60.470001,7726800.0,0.29,0.482
4258,IEFA,2019-03-12,59.939999,12305900.0,-0.03,-0.05
4259,IEFA,2019-03-11,59.98,4221000.0,0.51,0.858
4260,IEFA,2019-03-08,59.43,7379900.0,0.36,0.609
4261,IEFA,2019-03-07,59.450001,12733200.0,-0.57,-0.95
4262,IEFA,2019-03-06,60.290001,6208600.0,-0.27,-0.446
4263,IEFA,2019-03-05,60.439999,9510600.0,0.1,0.166
4264,IEFA,2019-03-04,60.380001,6557600.0,-0.29,-0.478
4265,IEFA,2019-03-01,60.619999,8550900.0,0.02,0.033
4266,IEFA,2019-02-28,60.290001,9127000.0,-0.03,-0.05
